,legislatura,nome_parlamentar,sigla_partido,acoes
196,56,BETO FARO,PT,1
86,56,MARCELO ARO,Progressistas,1
210,56,PAULO AZI,DEM,1
84,56,SORAYA SANTOS,PR,1
213,56,LUIZ NISHIMORI,PR,1
222,56,FRANCISCO JR.,PSD,1
228,56,FILIPE BARROS,PSL,1
237,56,JOSIMAR MARANHÃOZINHO,PR,1
239,56,JAQUELINE CASSOL,Progressistas,1
240,56,PASTOR GILDENEMYR,PMN,1
255,56,JOSÉ PRIANTE,MDB,1
206,56,BALEIA ROSSI,MDB,1
257,56,ALEXANDRE LEITE,DEM,1
265,56,CHARLES FERNANDES,PSD,1
64,56,EDUARDO CURY,PSDB,1
266,56,GUILHERME MUSSI,Progressistas,1
123,56,LAURIETE,PR,1
60,56,VALDEVAN NOVENTA,PSC,1
271,56,TIRIRICA,PR,1
278,56,ENIO VERRI,PT,1
280,56,WELITON PRADO,PROS,1
290,56,BIA CAVASSA,PSDB,1
292,56,DAGOBERTO NOGUEIRA,PDT,1
259,56,JOAQUIM PASSARINHO,PSD,1
294,56,WALTER ALVES,MDB,1
89,56,CRISTIANO VALE,PR,1
202,56,CLAUDIO CAJADO,Progressistas,1
127,56,MERLONG SOLANO,PT,1
132,56,LOURIVAL GOMES,PSL,1
139,56,AFONSO FLORENCE,PT,1
146,56,LUCIANO BIVAR,PSL,1
150,56,WALDENOR PEREIRA,PT,1
159,56,ROSANGELA GOMES,PRB,1
113,56,RENATA ABREU,Podemos,1
112,56,PEDRO PAULO,DEM,1
111,56,CELSO SABINO,PSDB,1
161,56,PAULO EDUARDO MARTINS,PSC,1
203,56,ANGELA AMIN,Progressistas,1
164,56,ELI BORGES,Solidariedade,1
173,56,JOSEILDO RAMOS,PT,1
105,56,OTACI NASCIMENTO,Solidariedade,1
175,56,ARTHUR OLIVEIRA MAIA,DEM,1
176,56,ALINE SLEUTJES,PSL,1
178,56,CARLOS SAMPAIO,PSDB,1
184,56,LUCAS GONZALEZ,NOVO,1
191,56,CARLOS BEZERRA,MDB,1
94,56,BETO ROSADO,Progressistas,1
195,56,JOÃO ROMA,PRB,1
200,56,CHARLLES EVANGELISTA,PSL,1
171,56,RUBENS PEREIRA JÚNIOR,PCdoB,1
297,56,ADRIANA VENTURA,NOVO,1
125,56,MARÍLIA ARRAES,PT,1
300,56,GASTÃO VIEIRA,PROS,1
