,acoes,numero_parlamentares,sigla_partido,percapita
22,1,2,PMN,0.5
27,5,1,REDE,5.0
28,6,2,Acredito,3.0
14,12,10,PROS,1.2
25,12,8,NOVO,1.5
15,15,7,Avante,2.142857142857143
20,15,8,PSC,1.875
18,19,4,PV,4.75
23,22,4,Patriota,5.5
9,33,11,PTB,3.0
0,43,15,Solidariedade,2.8666666666666667
17,61,11,Podemos,5.545454545454546
6,65,9,PCdoB,7.222222222222222
19,72,8,Cidadania,9.0
5,75,30,PSDB,2.5
7,76,40,Progressistas,1.9
1,81,32,PRB,2.53125
3,82,36,MDB,2.2777777777777777
4,92,29,DEM,3.1724137931034484
11,97,40,PR,2.425
12,102,39,PSD,2.6153846153846154
24,103,11,PSOL,9.363636363636363
10,131,33,PSB,3.9696969696969697
2,132,28,PDT,4.714285714285714
13,198,55,PSL,3.6
8,379,57,PT,6.649122807017544
