,legislatura,nome_parlamentar,sigla_partido,acoes
9,56,PAULO TEIXEIRA,PT,1
32,56,AMARO NETO,PRB,1
22,56,JORGE SOLLA,PT,1
14,56,LUCAS VERGILIO,Solidariedade,1
23,56,PAULO EDUARDO MARTINS,PSC,1
12,56,EDUARDO BARBOSA,PSDB,1
11,56,MACEDO,PP,1
10,56,SÁ,PR,1
20,56,JORGE BRAZ,PRB,1
18,56,GOULART,PSD,1
25,56,MAURO BORGES,PP,1
26,56,HEITOR SCHUCH,PSB,1
5,56,CUNHA LIMA,PPB,1
27,56,ÁTILA LINS,PP,1
30,56,GUSTINHO RIBEIRO,Solidariedade,1
2,56,ROBERTO ALVES,PRB,1
1,56,LUIZÃO GOULART,PRB,1
24,56,PEDRO CUNHA LIMA,PSDB,1
16,56,SERGIO VIDIGAL,PDT,2
33,56,HELDER SALOMÃO,PT,2
17,56,ANTONIO PALOCCI,PT,2
6,56,MARGARIDA SALOMÃO,PT,2
21,56,ALENCAR SANTANA BRAGA,PT,3
13,56,DELEGADO PABLO,PSL,3
8,56,PAULO RAMOS,PDT,3
7,56,PAULO RAMOS,PTB,3
28,56,GENERAL GIRÃO,PSL,3
29,56,ERIKA KOKAY,PT,3
31,56,SIDNEY LEITE,PSD,3
19,56,ELIAS VAZ,PSB,4
4,56,VANDERLEI MACRIS,PSDB,6
3,56,KIM KATAGUIRI,DEM,11
15,56,PAULA BELMONTE,Cidadania,13
0,56,ALTINEU CÔRTES,PR,17
