,legislatura,nome_parlamentar,sigla_partido,acoes
0,56,JERÔNIMO GOERGEN,PP,1
78,56,ZECA DIRCEU,PT,1
79,56,SILAS CÂMARA,PRB,1
80,56,ROBERTO PESSOA,PSDB,1
48,56,JOSÉ NELTO,PODE,1
46,56,HELIO LOPES,PSL,1
45,56,HIRAN GONÇALVES,PP,1
52,56,AUGUSTO COUTINHO,SOLIDARI,1
83,56,PAULA BELMONTE,PPS,1
85,56,DOMINGOS NETO,PSD,1
41,56,DR. LEONARDO,SOLIDARI,1
40,56,CÁSSIO ANDRADE,PSB,1
86,56,LEONARDO MONTEIRO,PT,1
38,56,MARGARIDA SALOMÃO,PT,1
37,56,PATRUS ANANIAS,PT,1
84,56,CAMILO CAPIBERIBE,PSB,1
36,56,KIM KATAGUIRI,DEM,1
53,56,RENATA ABREU,PODE,1
75,56,MÁRCIO JERRY,PCdoB,1
69,56,TADEU ALENCAR,PSB,1
68,56,RUI FALCÃO,PT,1
67,56,RUBENS BUENO,CIDADANIA,1
66,56,LÉO MORAES,PODE,1
65,56,SUBTENENTE GONZAGA,PDT,1
64,56,LÍDICE DA MATA,PSB,1
76,56,NELSON PELLEGRINO,PT,1
63,56,MARÍLIA ARRAES,PT,1
61,56,CARLOS ZARATTINI,PT,1
60,56,PEDRO LUPION,DEM,1
74,56,LEANDRE,PV,1
58,56,GLEISI HOFFMANN,PT,1
57,56,POMPEO DE MATTOS,PDT,1
56,56,EVAIR VIEIRA DE MELO,PP,1
72,56,DR. ZACHARIAS CALIL,DEM,1
70,56,CÉLIO STUDART,PV,1
87,56,PEDRO UCZAI,PT,1
33,56,GIOVANI CHERINI,PR,1
1,56,VILSON DA FETAEMG,PSB,1
2,56,RODRIGO COELHO,PSB,1
3,56,SANDERSON,PSL,1
4,56,MÁRIO NEGROMONTE JR.,PP,1
5,56,MARCELO NILO,PSB,1
6,56,BETO PEREIRA,PSDB,1
7,56,JUSCELINO FILHO,DEM,1
8,56,VINICIUS FARAH,MDB,1
106,56,LUIZ FLÁVIO GOMES,PSB,1
105,56,GONZAGA PATRIOTA,PSB,1
100,56,ABOU ANNI,PSL,1
98,56,LUCIANO DUCCI,PSB,1
97,56,ROGÉRIO PENINHA MENDONÇA,MDB,1
88,56,JOÃO CAMPOS,PRB,1
18,56,NELSON BARBUDO,PSL,1
17,56,ALEXANDRE PADILHA,PT,1
20,56,JUNINHO DO PNEU,DEM,1
32,56,MARCELO RAMOS,PR,1
89,56,RUY CARNEIRO,PSDB,1
91,56,SEBASTIÃO OLIVEIRA,PR,1
92,56,VICENTINHO,PT,1
28,56,PROFESSOR LUIZ FLÁVIO GOMES,PSB,1
27,56,TED CONTI,PSB,1
93,56,BACELAR,PODE,1
96,56,CORONEL TADEU,PSL,1
25,56,JOÃO DANIEL,PT,1
23,56,JOSÉ MEDEIROS,PODE,1
94,56,DR. LUIZ ANTONIO TEIXEIRA JR.,PP,1
21,56,DANIEL TRZECIAK,PSDB,1
24,56,PAULO BENGTSON,PTB,1
71,56,DR. FREDERICO,PATRI,1
103,56,FELIPE CARRERAS,PSB,2
102,56,VALTENIR PEREIRA,MDB,2
81,56,RODRIGO AGOSTINHO,PSB,2
99,56,ROGÉRIO CORREIA,PT,2
54,56,FELIPE RIGONI,PSB,2
59,56,JOENIA WAPICHANA,REDE,2
19,56,JANDIRA FEGHALI,PCdoB,2
31,56,DRA. SORAYA MANATO,PSL,2
9,56,BOHN GASS,PT,2
51,56,ELIAS VAZ,PSB,2
10,56,WELITON PRADO,PROS,2
49,56,GERVÁSIO MAIA,PSB,2
47,56,ANDRÉ FIGUEIREDO,PDT,2
11,56,NILTO TATTO,PT,2
14,56,MAURO NAZIF,PSB,2
12,56,MARCON,PT,2
39,56,CARLOS VERAS,PT,2
95,56,BIRA DO PINDARÉ,PSB,3
34,56,JOÃO H. CAMPOS,PSB,3
29,56,ERIKA KOKAY,PT,3
107,56,HELDER SALOMÃO,PT,3
16,56,PAULO TEIXEIRA,PT,3
26,56,JOSÉ GUIMARÃES,PT,4
108,56,DAVID MIRANDA,PSOL,4
15,56,DANILO CABRAL,PSB,4
82,56,DENIS BEZERRA,PSB,4
55,56,AFONSO FLORENCE,PT,4
101,56,REGINALDO LOPES,PT,4
62,56,HEITOR SCHUCH,PSB,5
43,56,ALIEL MACHADO,PSB,5
42,56,PAULO PIMENTA,PT,5
90,56,ALESSANDRO MOLON,PSB,6
13,56,SÂMIA BOMFIM,PSOL,8
77,56,LUIZA ERUNDINA,PSOL,8
30,56,GLAUBER BRAGA,PSOL,9
35,56,EDMILSON RODRIGUES,PSOL,9
44,56,FERNANDA MELCHIONNA,PSOL,9
22,56,MARCELO FREIXO,PSOL,9
73,56,TALÍRIA PETRONE,PSOL,9
104,56,ÁUREA CAROLINA,PSOL,10
50,56,IVAN VALENTE,PSOL,10
