,acoes,numero_parlamentares,sigla_partido,percapita
23,1,4,Patriota,0.25
9,1,11,PTB,0.09090909090909091
12,1,39,PSD,0.02564102564102564
19,2,8,Cidadania,0.25
27,2,1,REDE,2.0
18,2,4,PV,0.5
0,2,15,Solidariedade,0.13333333333333333
28,2,2,Acredito,1.0
1,2,32,PRB,0.0625
14,2,10,PROS,0.2
11,3,40,PR,0.075
6,3,9,PCdoB,0.3333333333333333
2,4,28,PDT,0.14285714285714285
3,4,36,MDB,0.1111111111111111
5,4,30,PSDB,0.13333333333333333
17,5,11,Podemos,0.45454545454545453
7,5,40,Progressistas,0.125
4,5,29,DEM,0.1724137931034483
13,7,55,PSL,0.12727272727272726
8,49,57,PT,0.8596491228070176
10,54,33,PSB,1.6363636363636365
24,85,11,PSOL,7.7272727272727275
