,legislatura,nome_parlamentar,sigla_partido,acoes
204,56,FABIO REIS,MDB,1
168,56,SENADO FEDERAL - MARTA SUPLICY,MDB,1
169,56,SENADO FEDERAL - EDUARDO AMORIM,PSC,1
175,56,WALTER ALVES,MDB,1
176,56,LEONARDO MONTEIRO,PT,1
182,56,JOÃO CAMPOS,PRB,1
183,56,PROFESSOR ISRAEL BATISTA,PV,1
187,56,EMIDINHO MADEIRA,PSB,1
190,56,JÚLIO CESAR,PSD,1
198,56,ODAIR CUNHA,PT,1
199,56,SENADO FEDERAL - LASIER MARTINS,PSD,1
208,56,SENADO FEDERAL - PAULO PAIM,PT,1
209,56,ADOLFO VIANA,PSDB,1
210,56,BETO FARO,PT,1
211,56,ANDRÉ JANONES,Avante,1
214,56,CÉLIO MOURA,PT,1
216,56,RAIMUNDO COSTA,PR,1
218,56,VILSON DA FETAEMG,PSB,1
167,56,ZÉ SILVA,Solidariedade,1
221,56,VANDERLEI MACRIS,PSDB,1
162,56,VANDER LOUBET,PT,1
157,56,REINHOLD STEPHANES JUNIOR,PSD,1
92,56,EDUARDO BARBOSA,PSDB,1
105,56,MARGARIDA SALOMÃO,PT,1
109,56,FAUSTO PINATO,Progressistas,1
110,56,ELIAS VAZ,PSB,1
111,56,VAVÁ MARTINS,PRB,1
113,56,EDUARDO BOLSONARO,PSL,1
114,56,SENADO FEDERAL - VANESSA GRAZZIOTIN,PCdoB,1
115,56,SAMUEL MOREIRA,PSDB,1
116,56,TIRIRICA,PR,1
117,56,ALTINEU CÔRTES,PR,1
120,56,LOESTER TRUTIS,PSL,1
130,56,HUGO MOTTA,PRB,1
144,56,BILAC PINTO,DEM,1
145,56,PEDRO WESTPHALEN,Progressistas,1
149,56,MÁRCIO JERRY,PCdoB,1
151,56,NELSON PELLEGRINO,PT,1
152,56,FRANCO CARTAFINA,Progressistas,1
159,56,JHC,PSB,1
231,56,JUSCELINO FILHO,DEM,1
238,56,SENADO FEDERAL - PAULO ROCHA,PT,1
240,56,BOHN GASS,PT,1
331,56,ABÍLIO SANTANA,PR,1
332,56,ALEXANDRE SERFIOTIS,PSD,1
339,56,ACÁCIO FAVACHO,PROS,1
344,56,VERMELHO,PSD,1
346,56,ADRIANO DO BALDY,Progressistas,1
352,56,SENADO FEDERAL - ACIR GURGACZ,PDT,1
363,56,GIL CUTRIM,PDT,1
366,56,LUIZA ERUNDINA,PSOL,1
367,56,SENADO FEDERAL - ANA AMÉLIA,Progressistas,1
368,56,RICARDO BARROS,Progressistas,1
369,56,ZÉ VITOR,PMN,1
374,56,ALEX SANTANA,PDT,1
375,56,PASTOR GILDENEMYR,PMN,1
376,56,RUY CARNEIRO,PSDB,1
377,56,JOSÉ AIRTON FÉLIX CIRILO,PT,1
391,56,SENADO FEDERAL - SIMONE TEBET,MDB,1
394,56,DANRLEI DE DEUS HINTERHOLZ,PSD,1
328,56,NORMA AYUB,DEM,1
326,56,GENERAL PETERNELLI,PSL,1
323,56,TADEU ALENCAR,PSB,1
315,56,MAJOR FABIANA,PSL,1
243,56,SENADO FEDERAL - ROSE DE FREITAS,MDB,1
246,56,SHÉRIDAN,PSDB,1
252,56,GREYCE ELIAS,Avante,1
255,56,NELSON BARBUDO,PSL,1
257,56,JHONATAN DE JESUS,PRB,1
259,56,JOSÉ GUIMARÃES,PT,1
262,56,PROFESSOR LUIZ FLÁVIO GOMES,PSB,1
272,56,ZÉ CARLOS,PT,1
90,56,EXPEDITO NETTO,PSD,1
279,56,JAQUELINE CASSOL,Progressistas,1
284,56,LUIS TIBÉ,Avante,1
285,56,VAIDON OLIVEIRA,PROS,1
292,56,ALENCAR SANTANA BRAGA,PT,1
294,56,COVATTI FILHO,Progressistas,1
297,56,SENADO FEDERAL - JOSÉ SERRA,PSDB,1
305,56,CARLOS GOMES,PRB,1
308,56,JOENIA WAPICHANA,REDE,1
311,56,SENADO FEDERAL - CIRO NOGUEIRA,Progressistas,1
282,56,ENIO VERRI,PT,1
84,56,PATRUS ANANIAS,PT,1
408,56,DANIELA DO WAGUINHO,MDB,1
48,56,DANIEL COELHO,Cidadania,1
67,56,MÁRCIO MARINHO,PRB,1
63,56,DAGOBERTO NOGUEIRA,PDT,1
29,56,DRA. VANDA MILANI,Solidariedade,1
16,56,SENADO FEDERAL - ROBERTO MUNIZ,Progressistas,1
30,56,JOAQUIM PASSARINHO,PSD,1
14,56,ENRICO MISASI,PV,1
13,56,SENADO FEDERAL - LEILA BARROS,PSB,1
73,56,ALICE PORTUGAL,PCdoB,1
74,56,JOSEILDO RAMOS,PT,1
56,56,FLAVIO NOGUEIRA,PDT,1
55,56,ÁTILA LIRA,PSB,1
54,56,ANDRÉ FUFUCA,Progressistas,1
39,56,EMANUEL PINHEIRO NETO,PTB,1
8,56,MIGUEL LOMBARDI,PR,1
7,56,TEREZA NELMA,PSDB,1
76,56,EDUARDO DA FONTE,Progressistas,1
43,56,IRACEMA PORTELLA,Progressistas,1
81,56,JORGE SOLLA,PT,1
6,56,SENADO FEDERAL - ELMANO FÉRRER,MDB,1
