,acoes,numero_parlamentares,sigla_partido,percapita
27,1,1,REDE,1.0
22,6,2,PMN,3.0
16,8,1,PHS,8.0
28,9,2,Acredito,4.5
6,20,9,PCdoB,2.2222222222222223
25,23,8,NOVO,2.875
15,26,7,Avante,3.7142857142857144
20,26,8,PSC,3.25
0,31,15,Solidariedade,2.066666666666667
9,35,11,PTB,3.1818181818181817
24,46,11,PSOL,4.181818181818182
23,50,4,Patriota,12.5
19,59,8,Cidadania,7.375
14,69,10,PROS,6.9
7,83,40,Progressistas,2.075
3,87,36,MDB,2.4166666666666665
2,96,28,PDT,3.4285714285714284
12,101,39,PSD,2.58974358974359
18,107,4,PV,26.75
4,112,29,DEM,3.8620689655172415
5,114,30,PSDB,3.8
1,119,32,PRB,3.71875
11,119,40,PR,2.975
8,137,57,PT,2.4035087719298245
17,235,11,Podemos,21.363636363636363
13,243,55,PSL,4.418181818181818
10,255,33,PSB,7.7272727272727275
