,legislatura,nome_parlamentar,sigla_partido,acoes
350,56,VALDEVAN NOVENTA,PSC,1
326,56,PAULO MAGALHÃES,PSD,1
329,56,DARCÍSIO PERONDI,MDB,1
333,56,MISAEL VARELLA,PSD,1
342,56,RICARDO TEOBALDO,PODE,1
93,56,VANDER LOUBET,PT,1
92,56,COVATTI FILHO,PP,1
349,56,HERMES PARCIANELLO,MDB,1
87,56,AGUINALDO RIBEIRO,PP,1
351,56,JOICE HASSELMANN,PSL,1
354,56,DR. LEONARDO,SOLIDARIED,1
355,56,WELLINGTON ROBERTO,PR,1
323,56,LOURIVAL GOMES,PSL,1
81,56,LUCAS VERGILIO,SOLIDARIED,1
78,56,SEVERINO PESSOA,PRB,1
72,56,DA VITORIA,CIDADANIA,1
372,56,GIACOBO,PR,1
375,56,FRANCISCO JR.,PSD,1
376,56,EUCLYDES PETTERSEN,PSC,1
377,56,DOMINGOS NETO,PSD,1
66,56,ELI BORGES,SOLIDARI,1
381,56,MARCEL VAN HATTEM,NOVO,1
387,56,GERALDO RESENDE,PSDB,1
397,56,CARMEN ZANOTTO,CIDADANIA,1
58,56,GASTÃO VIEIRA,PROS,1
80,56,BILAC PINTO,DEM,1
321,56,GUILHERME MUSSI,PP,1
302,56,ONYX LORENZONI,DEM,1
301,56,HAROLDO CATHEDRAL,PSD,1
187,56,TIAGO MITRAUD,NOVO,1
188,56,STEFANO AGUIAR,PSD,1
198,56,RODRIGO DE CASTRO,PSDB,1
206,56,FERNANDO RODOLFO,PR,1
160,56,GURGEL,PSL,1
156,56,ANDRÉ FUFUCA,PP,1
153,56,LAURIETE,PR,1
152,56,MOSES RODRIGUES,MDB,1
151,56,TED CONTI,PSB,1
220,56,RUI FALCÃO,PT,1
229,56,ZÉ VITOR,PMN,1
231,56,PROFESSOR JOZIEL,PSL,1
237,56,ISNALDO BULHÕES JR.,MDB,1
239,56,TEREZA CRISTINA,DEM,1
250,56,EDILÁZIO JÚNIOR,PSD,1
136,56,GUIGA PEIXOTO,PSL,1
134,56,LUIZ CARLOS MOTTA,PR,1
264,56,PINHEIRINHO,PP,1
131,56,WILSON SANTIAGO,PTB,1
267,56,EDUARDO DA FONTE,PP,1
