,acoes,numero_parlamentares,sigla_partido,percapita
21,2,1,PRP,2.0
16,4,1,PHS,4.0
22,5,2,PMN,2.5
27,7,1,REDE,7.0
28,10,2,Acredito,5.0
20,21,8,PSC,2.625
25,27,8,NOVO,3.375
14,33,10,PROS,3.3
18,57,4,PV,14.25
9,62,11,PTB,5.636363636363637
6,123,9,PCdoB,13.666666666666666
5,153,30,PSDB,5.1
3,159,36,MDB,4.416666666666667
4,161,29,DEM,5.551724137931035
24,174,11,PSOL,15.818181818181818
1,180,32,PRB,5.625
12,186,39,PSD,4.769230769230769
11,207,40,PR,5.175
2,246,28,PDT,8.785714285714286
10,256,33,PSB,7.757575757575758
13,310,55,PSL,5.636363636363637
8,699,57,PT,12.263157894736842
