,legislatura,nome_parlamentar,sigla_partido,acoes
0,56,LUIZÃO GOULART,PRB,1
25,56,AMARO NETO,PRB,1
56,56,TOLEDO,,1
29,56,ROBERTO ALVES,PRB,1
32,56,OLIVEIRA,,1
34,56,ASSIS,,1
35,56,PAULO TEIXEIRA,PT,1
37,56,MAURO BORGES,Progressistas,1
39,56,FRANCO,,1
41,56,CUNHA,,1
44,56,ANTONIO PALOCCI,PT,1
45,56,BENEVIDES,,1
48,56,FRANCISCO DE ASSIS,PT,1
49,56,JORGE SOLLA,PT,1
50,56,PEDRO CUNHA LIMA,PSDB,1
51,56,HEITOR SCHUCH,PSB,1
53,56,MACEDO,Progressistas,1
55,56,GOULART,PSD,1
23,56,GUSTINHO RIBEIRO,Solidariedade,1
20,56,ÁTILA LINS,Progressistas,1
57,56,AUGUSTO DA SILVA,,1
2,56,CUNHA LIMA,PPB,1
17,56,PAULO EDUARDO MARTINS,PSC,1
5,56,SÁ,PR,1
6,56,MACHADO,,1
8,56,EDUARDO BARBOSA,PSDB,1
9,56,CUNHA LIMA,,1
19,56,LIMA,,1
11,56,LEDO,,1
13,56,JORGE BRAZ,PRB,1
12,56,LUCAS VERGILIO,Solidariedade,1
10,56,SILVA,,2
3,56,MARGARIDA SALOMÃO,PT,2
4,56,BARBOSA,,2
47,56,RIBEIRO,,2
43,56,SERGIO VIDIGAL,PDT,2
28,56,HELDER SALOMÃO,PT,2
36,56,LESSA,,2
30,56,LEMOS,,2
33,56,PAULO RAMOS,PTB,3
54,56,GENERAL GIRÃO,PSL,3
22,56,MACEDO,,3
24,56,SIDNEY LEITE,PSD,3
26,56,ALENCAR,,3
7,56,GALVÃO,,3
16,56,ALENCAR SANTANA BRAGA,PT,3
40,56,DELEGADO PABLO,PSL,3
14,56,RIOS,,3
38,56,PAULO RAMOS,PDT,3
21,56,ERIKA KOKAY,PT,3
46,56,ELIAS VAZ,PSB,4
15,56,ELIAS,,4
1,56,VANDERLEI MACRIS,PSDB,6
52,56,DIAS,,7
31,56,KIM KATAGUIRI,DEM,11
42,56,PAULA BELMONTE,Cidadania,13
18,56,MONTE,,13
27,56,ALTINEU CÔRTES,PR,17
