,legislatura,nome_parlamentar,sigla_partido,acoes
0,56,LEUR LOMANTO,MDB,1
164,56,PADRE JOÃO,PT,1
163,56,PAULO TEIXEIRA,PT,1
162,56,CELSO MALDANER,MDB,1
160,56,AMARO NETO,PRB,1
155,56,CLARISSA GAROTINHO,PROS,1
152,56,SIDNEY LEITE,PSD,1
148,56,JOSIMAR MARANHÃOZINHO,PR,1
140,56,DELEGADO ANTÔNIO FURTADO,PSL,1
139,56,SOARES,,1
136,56,AIRTON FALEIRO,PT,1
133,56,NELSON PELLEGRINO,PT,1
130,56,FERNANDO RODOLFO,PR,1
125,56,CARVALHO,,1
247,56,REINHOLD STEPHANES JUNIOR,PSD,1
123,56,EXPEDITO NETTO,PSD,1
121,56,ADRIAN,MDB,1
120,56,JOÃO ROMA,PRB,1
119,56,CELINA LEÃO,Progressistas,1
113,56,CAPITÃO ALBERTO NETO,PRB,1
112,56,WILSON SANTIAGO,PTB,1
106,56,MARANHÃO,,1
105,56,CUNHA,,1
100,56,ARTHUR OLIVEIRA MAIA,DEM,1
99,56,DAVID MIRANDA,PSOL,1
94,56,ABOU ANNI,PSL,1
92,56,JEFFERSON CAMPOS,PSB,1
81,56,ALIEL MACHADO,PSB,1
78,56,LOURIVAL GOMES,PSL,1
75,56,GURGEL,PSL,1
165,56,DAVID SOARES,DEM,1
169,56,BENEVIDES,,1
173,56,CAMILO CAPIBERIBE,PSB,1
174,56,NOGUEIRA,,1
242,56,GUSTAVO FRUET,PDT,1
241,56,HUGO MOTTA,PRB,1
240,56,PEDRO CUNHA LIMA,PSDB,1
239,56,ROSANA VALLE,PSB,1
237,56,LUIZA ERUNDINA,PSOL,1
235,56,ALEX MANENTE,Cidadania,1
234,56,LÉO MOTTA,PSL,1
232,56,ZÉ VITOR,PR,1
231,56,GEOVANIA DE SÁ,PSDB,1
229,56,JOSÉ GUIMARÃES,PT,1
226,56,LOMANTO JÚNIOR,,1
217,56,FLAVIANO MELO,MDB,1
215,56,GENERAL PETERNELLI,PSL,1
210,56,ANDRÉ FIGUEIREDO,PDT,1
71,56,DELEGADO MARCELO FREITAS,PSL,1
209,56,MIGUEL LOMBARDI,PR,1
206,56,LEUR LOMANTO JÚNIOR,DEM,1
