,acoes,numero_parlamentares,sigla_partido,percapita
28,2,2,Acredito,1.0
23,2,4,Patriota,0.5
22,2,2,PMN,1.0
15,3,7,Avante,0.42857142857142855
18,4,4,PV,1.0
17,6,11,Podemos,0.5454545454545454
19,6,8,Cidadania,0.75
14,9,10,PROS,0.9
9,11,11,PTB,1.0
11,12,40,PR,0.3
5,14,30,PSDB,0.4666666666666667
4,14,29,DEM,0.4827586206896552
0,16,15,Solidariedade,1.0666666666666667
25,17,8,NOVO,2.125
6,22,9,PCdoB,2.4444444444444446
3,23,36,MDB,0.6388888888888888
7,26,40,Progressistas,0.65
10,35,33,PSB,1.0606060606060606
24,38,11,PSOL,3.4545454545454546
12,51,39,PSD,1.3076923076923077
2,54,28,PDT,1.9285714285714286
1,58,32,PRB,1.8125
13,86,55,PSL,1.5636363636363637
8,133,57,PT,2.3333333333333335
