,legislatura,nome_parlamentar,sigla_partido,acoes
59,56,BENES LEOCÁDIO,PRB,1
73,56,RICARDO IZAR,Progressistas,1
72,56,TADEU ALENCAR,PSB,1
70,56,CHICO D'ANGELO,PDT,1
69,56,ROGÉRIO PENINHA MENDONÇA,MDB,1
67,56,VINICIUS FARAH,MDB,1
66,56,NILTO TATTO,PT,1
64,56,LAERCIO OLIVEIRA,Progressistas,1
61,56,CORONEL TADEU,PSL,1
74,56,AROLDO MARTINS,PRB,1
60,56,FELÍCIO LATERÇA,PSL,1
57,56,MARCELO ARO,Progressistas,1
55,56,DAMIÃO FELICIANO,PDT,1
54,56,PORTELA,,1
53,56,ENIO VERRI,PT,1
52,56,JUSCELINO FILHO,DEM,1
50,56,CAMILO CAPIBERIBE,PSB,1
49,56,FÁBIO HENRIQUE,PDT,1
45,56,EDUARDO CURY,PSDB,1
58,56,ASSIS CARVALHO,PT,1
44,56,PADRE JOÃO,PT,1
76,56,ZECA DIRCEU,PT,1
80,56,GOMES,,1
114,56,HUGO MOTTA,PRB,1
110,56,MARCO BERTAIOLLI,PSD,1
109,56,FABIO REIS,MDB,1
107,56,RICARDO IZAR,PTB,1
106,56,CARLOS CHIODINI,MDB,1
104,56,ANTONIO BRITO,PSD,1
100,56,MOSES RODRIGUES,MDB,1
97,56,EDMILSON RODRIGUES,PSOL,1
77,56,JORGE BRAZ,PRB,1
96,56,TONINHO WANDSCHEER,PROS,1
93,56,OLIVEIRA,,1
92,56,MARCELO RAMOS,PR,1
89,56,MIGUEL LOMBARDI,PR,1
88,56,SUBTENENTE GONZAGA,PDT,1
87,56,ALENCAR,,1
83,56,ALIEL MACHADO,PSB,1
82,56,MARA ROCHA,PSDB,1
81,56,FABIO SCHIOCHET,PSL,1
95,56,WALDENOR PEREIRA,PT,1
43,56,LUIZ FLÁVIO GOMES,PSB,1
119,56,JOSÉ NELTO,Podemos,1
41,56,ALEXANDRE LEITE,DEM,1
2,56,SILVIA CRISTINA,PDT,1
7,56,MACHADO,,1
10,56,HILDO ROCHA,MDB,1
16,56,BIA KICIS,PSL,1
20,56,SERGIO SOUZA,MDB,1
22,56,LUCIO MOSQUINI,MDB,1
23,56,PROFESSORA MARCIVANIA,PCdoB,1
28,56,GLAUBER BRAGA,PSOL,1
31,56,JAQUELINE CASSOL,Progressistas,1
32,56,BENEDITA DA SILVA,PT,1
18,56,HUGO LEAL,PSD,1
36,56,CLARISSA GAROTINHO,PROS,1
39,56,ASSIS,,1
34,56,SÓSTENES CAVALCANTE,DEM,1
38,56,ÁTILA LIRA,PSB,1
37,56,LINCOLN PORTELA,PR,1
40,56,AGUINALDO RIBEIRO,Progressistas,1
9,56,FERNANDO RODOLFO,PR,2
17,56,NELSON PELLEGRINO,PT,2
108,56,JORGE SOLLA,PT,2
79,56,EVANDRO ROMAN,PSD,2
86,56,ROCHA,PSDB,2
94,56,ALUISIO MENDES,Podemos,2
51,56,ALCEU MOREIRA,MDB,2
71,56,VERMELHO,PSD,2
25,56,VALTENIR PEREIRA,MDB,2
111,56,PEDRO CUNHA LIMA,PSDB,2
68,56,CUNHA LIMA,,2
102,56,CUNHA,,2
65,56,CUNHA LIMA,PPB,2
29,56,MIRANDA,,2
63,56,URBANO,,2
113,56,BRUNA FURLAN,PSDB,2
90,56,ANDRÉ FIGUEIREDO,PDT,2
99,56,FELIPE CARRERAS,PSB,2
98,56,LUIS MIRANDA,DEM,2
8,56,PAULO AZI,DEM,2
48,56,RIBEIRO,,2
84,56,DIEGO GARCIA,Podemos,2
105,56,GONÇALVES,,3
15,56,PROFESSORA DORINHA SEABRA REZENDE,DEM,3
78,56,DELEGADO MARCELO FREITAS,PSL,3
3,56,HIRAN GONÇALVES,Progressistas,3
1,56,BACELAR,Podemos,3
35,56,FÁBIO TRAD,PSD,3
116,56,DARCÍSIO PERONDI,MDB,3
42,56,JOAQUIM PASSARINHO,PSD,3
75,56,VINICIUS CARVALHO,PRB,3
6,56,SÁ,PR,4
112,56,CARMEN ZANOTTO,Cidadania,4
115,56,MOREIRA,,4
56,56,JANDIRA FEGHALI,PCdoB,4
19,56,MARIA DO ROSÁRIO,PT,4
33,56,POMPEO DE MATTOS,PDT,4
30,56,DANILO CABRAL,PSB,4
62,56,PERPÉTUA ALMEIDA,PCdoB,4
24,56,ROCHA,,4
21,56,LUIZ LIMA,PSL,4
47,56,FELIPE RIGONI,PSB,4
0,56,CARVALHO,,4
103,56,PAULO PEREIRA,PL,5
13,56,LUCAS VERGILIO,Solidariedade,5
101,56,PEREIRA DA SILVA,PSD,5
46,56,PEREIRA DA SILVA,,5
91,56,FLÁVIA MORAIS,PDT,5
118,56,PAULO PEREIRA DA SILVA,Solidariedade,5
85,56,ERIKA KOKAY,PT,6
27,56,LIMA,,6
12,56,SILVA,,6
117,56,FIGUEIREDO,,6
5,56,CAPITÃO WAGNER,PROS,7
11,56,EDUARDO BARBOSA,PSDB,7
14,56,JOÃO H. CAMPOS,PSB,8
26,56,FREITAS,,9
4,56,BARBOSA,,14
