,acoes,numero_parlamentares,sigla_partido,percapita
9,1,11,PTB,0.09090909090909091
24,2,11,PSOL,0.18181818181818182
19,4,8,Cidadania,0.5
28,4,2,Acredito,2.0
1,7,32,PRB,0.21875
17,8,11,Podemos,0.7272727272727273
7,8,40,Progressistas,0.2
6,9,9,PCdoB,1.0
11,9,40,PR,0.225
14,9,10,PROS,0.9
0,10,15,Solidariedade,0.6666666666666666
4,10,29,DEM,0.3448275862068966
13,11,55,PSL,0.2
5,15,30,PSDB,0.5
3,15,36,MDB,0.4166666666666667
2,16,28,PDT,0.5714285714285714
12,18,39,PSD,0.46153846153846156
8,21,57,PT,0.3684210526315789
10,23,33,PSB,0.696969696969697
