,legislatura,nome_parlamentar,sigla_partido,acoes
421,56,LUIZ CARLOS MOTTA,PR,1
85,56,LÍDICE DA MATA,PSB,1
84,56,MERLONG SOLANO,PT,1
248,56,RODRIGO DE CASTRO,PSDB,1
82,56,HÉLIO LEITE,DEM,1
384,56,SEVERINO PESSOA,PRB,1
80,56,LAURIETE,PR,1
79,56,MARINHO,,1
78,56,NATÁLIA BONAVIDES,PT,1
431,56,ELIAS,,1
261,56,JOICE HASSELMANN,PSL,1
75,56,REJANE DIAS,PT,1
410,56,CARLA ZAMBELLI,PSL,1
73,56,FAUSTO PINATO,Progressistas,1
72,56,EDIO LOPES,PR,1
376,56,HÉLIO COSTA,MDB,1
70,56,AGUIAR,,1
446,56,PAULO RAMOS,PDT,1
447,56,FLAVIANO MELO,MDB,1
265,56,IGOR TIMO,Podemos,1
267,56,JOSÉ NUNES,PSD,1
448,56,PAULO RAMOS,PTB,1
131,56,ANGELA AMIN,Progressistas,1
429,56,LEÔNIDAS CRISTINO,PDT,1
133,56,LUIZ CARLOS,PSDB,1
273,56,ROBÉRIO MONTEIRO,PDT,1
185,56,SÂMIA BOMFIM,PSOL,1
246,56,LEUR LOMANTO,MDB,1
392,56,CLARISSA GAROTINHO,PROS,1
125,56,HELIO LOPES,PSL,1
202,56,ANDRÉ DE PAULA,PSD,1
206,56,VICENTINHO,PT,1
207,56,MARA ROCHA,PSDB,1
210,56,GIL CUTRIM,PDT,1
211,56,LEUR LOMANTO JÚNIOR,DEM,1
214,56,RAMALHO,,1
110,56,MARX BELTRÃO,PSD,1
217,56,NEREU CRISPIM,PSL,1
401,56,CHARLES FERNANDES,PSD,1
107,56,CIRILO,,1
194,56,CRISPIM,,1
193,56,ANDRÉ FERREIRA,PSC,1
200,56,ALENCAR SANTANA BRAGA,PT,1
104,56,RONALDO CARLETTO,Progressistas,1
407,56,JOÃO MARCELO SOUZA,MDB,1
226,56,MÁRCIO MARINHO,PRB,1
396,56,AGUINALDO RIBEIRO,Progressistas,1
229,56,LÉO MOTTA,PSL,1
98,56,FERNANDO COELHO,MDB,1
97,56,PAULO BENGTSON,PTB,1
436,56,OLIVAL MARQUES,DEM,1
230,56,FABIO REIS,MDB,1
234,56,CRISTIANO,Avante,1
189,56,FÁBIO RAMALHO,MDB,1
239,56,DRA. VANDA MILANI,Solidariedade,1
124,56,GREYCE ELIAS,Avante,1
223,56,FERNANDO COELHO FILHO,DEM,1
179,56,LUIZ CARLOS,,1
371,56,MARLON SANTOS,PDT,1
56,56,STEFANO AGUIAR,PSD,1
307,56,ALEXANDRE SERFIOTIS,PSD,1
310,56,RICARDO GUIDI,PSD,1
313,56,NEWTON CARDOSO JR,MDB,1
24,56,RICARDO BARROS,Progressistas,1
145,56,FILIPE BARROS,PSL,1
22,56,RICARDO TEOBALDO,Podemos,1
357,56,LAFAYETTE DE ANDRADA,PRB,1
146,56,NILSON PINTO,PSDB,1
147,56,IVAN VALENTE,PSOL,1
462,56,FRANCO CARTAFINA,Progressistas,1
322,56,RENATA ABREU,Podemos,1
148,56,PASTOR GILDENEMYR,PMN,1
465,56,LEDA SADALA,Avante,1
413,56,HÉLIO COSTA,PRB,1
332,56,ALINE GURGEL,PRB,1
158,56,NEWTON CARDOSO,MDB,1
353,56,RODRIGO COELHO,PSB,1
9,56,ROGÉRIO CORREIA,PT,1
335,56,ARNALDO JARDIM,Cidadania,1
7,56,FERNANDA MELCHIONNA,PSOL,1
340,56,ABOU ANNI,PSL,1
472,56,ADOLFO VIANA,PSDB,1
473,56,ULDURICO JUNIOR,PROS,1
342,56,DOMINGOS NETO,PSD,1
1,56,JÚNIOR MANO,PR,1
57,56,LIZIANE BAYER,PSB,1
305,56,LUIZÃO GOULART,PRB,1
198,56,CEZINHA DE MADUREIRA,PSD,1
31,56,MARCELO MORAES,PTB,1
276,56,CHRISTIANE DE SOUZA YARED,PR,1
277,56,ALTINEU CÔRTES,PR,1
53,56,DAMIÃO FELICIANO,PDT,1
52,56,RAIMUNDO COSTA,PR,1
278,56,TITO,Avante,1
135,56,JESUS SÉRGIO,PDT,1
282,56,ZARATTINI,PT,1
177,56,CARLOS ZARATTINI,PT,1
452,56,FRANCO,,1
175,56,JOSÉ AIRTON FÉLIX CIRILO,PT,1
303,56,CRISTIANO VALE,PR,1
427,56,ELI CORRÊA FILHO,DEM,1
174,56,DIAS,,1
412,56,GOULART,PSD,1
41,56,PROFESSORA DAYANE PIMENTEL,PSL,1
456,56,LOMANTO JÚNIOR,,1
291,56,JHONATAN DE JESUS,PRB,1
293,56,REGINALDO LOPES,PT,1
363,56,VICENTINHO JÚNIOR,PR,1
38,56,MADUREIRA,,1
37,56,JARDIM,,1
171,56,RUBENS BUENO,Cidadania,1
298,56,NIVALDO ALBUQUERQUE,PTB,1
424,56,VINICIUS GURGEL,PR,1
346,56,DAVID MIRANDA,PSOL,2
156,56,PR. MARCO FELICIANO,Podemos,2
180,56,GENERAL GIRÃO,PSL,2
160,56,CÉLIO STUDART,PV,2
168,56,RUY CARNEIRO,PSDB,2
186,56,URBANO,,2
475,56,DANIEL ALMEIDA,PCdoB,2
400,56,PAULO GUEDES,PT,2
287,56,CORONEL CHRISÓSTOMO,PSL,2
288,56,JUSCELINO FILHO,DEM,2
289,56,FREI ANASTACIO RIBEIRO,PT,2
294,56,VIANA,,2
365,56,GUTEMBERG REIS,MDB,2
314,56,CARLOS JORDY,PSL,2
286,56,MANUEL MARCOS,PRB,2
316,56,PAULO GANIME,NOVO,2
321,56,CELSO SABINO,PSDB,2
327,56,CORREIA,,2
328,56,ENRICO MISASI,PV,2
329,56,LOURIVAL GOMES,PSL,2
333,56,JÚNIOR BOZZELLA,PSL,2
352,56,JOSEILDO RAMOS,PT,2
319,56,LUIZIANNE LINS,PT,2
195,56,CLEBER VERDE,PRB,2
285,56,EROS BIONDINI,PROS,2
279,56,PEDRO AUGUSTO BEZERRA,PTB,2
399,56,PADRE JOÃO,PT,2
225,56,DANIELA DO WAGUINHO,MDB,2
236,56,HUGO MOTTA,PRB,2
240,56,MAURO LOPES,MDB,2
242,56,TED CONTI,PSB,2
244,56,CÉLIO SILVEIRA,PSDB,2
283,56,LUIZ FLÁVIO GOMES,PSB,2
387,56,JAQUELINE CASSOL,Progressistas,2
262,56,ISNALDO BULHÕES JR.,MDB,2
374,56,FRANCISCO JR.,PSD,2
268,56,AFONSO MOTTA,PDT,2
269,56,WLADIMIR GAROTINHO,PSD,2
272,56,CAPITÃO FÁBIO ABREU,PR,2
370,56,LUIZ NISHIMORI,PR,2
155,56,DR. LUIZ ANTONIO TEIXEIRA JR.,Progressistas,2
254,56,CARNEIRO,,2
411,56,ADRIANA VENTURA,NOVO,2
136,56,FERNANDO RODOLFO,PR,2
445,56,AJ ALBUQUERQUE,Progressistas,2
60,56,MARCELO FREIXO,PSOL,2
33,56,BETO PEREIRA,PSDB,2
35,56,ÁTILA LIRA,PSB,2
36,56,BULHÕES,,2
127,56,JOSE MARIO SCHREINER,DEM,2
28,56,CHIQUINHO BRAZÃO,Avante,2
455,56,DARCI DE MATOS,PSD,2
103,56,EDUARDO COSTA,PTB,2
432,56,SILAS CÂMARA,PRB,2
451,56,NELSON BARBUDO,PSL,2
68,56,AROLDO MARTINS,PRB,2
433,56,FABIO SCHIOCHET,PSL,2
62,56,PAULO ABI-ACKEL,PSDB,2
76,56,BOSCO COSTA,PR,2
26,56,DA VITORIA,Cidadania,2
117,56,ALINE SLEUTJES,PSL,2
23,56,NORMA AYUB,DEM,2
90,56,JUNINHO DO PNEU,DEM,2
435,56,ÁTILA LINS,Progressistas,2
20,56,DIEGO ANDRADE,PSD,2
109,56,ARTHUR OLIVEIRA MAIA,DEM,2
5,56,DR. ZACHARIAS CALIL,DEM,2
463,56,DR. JAZIEL,PR,2
6,56,JÚNIOR FERRARI,PSD,2
150,56,PROFESSOR JOZIEL,PSL,2
99,56,JEFFERSON CAMPOS,PSB,2
468,56,SARGENTO FAHUR,PSD,2
106,56,ROSANGELA GOMES,PRB,2
12,56,BIA KICIS,PSL,2
266,56,TEREZA NELMA,PSDB,3
71,56,JORGE BRAZ,PRB,3
260,56,LOESTER TRUTIS,PSL,3
391,56,SIDNEY LEITE,PSD,3
231,56,MARCO BERTAIOLLI,PSD,3
255,56,GUILHERME DERRITE,Progressistas,3
92,56,CÁSSIO ANDRADE,PSB,3
77,56,MISAEL VARELLA,PSD,3
252,56,RUBENS OTONI,PT,3
81,56,ALEX SANTANA,PDT,3
153,56,JÚLIO CESAR,PSD,3
74,56,CELSO RUSSOMANNO,PRB,3
422,56,ROGÉRIO PENINHA MENDONÇA,MDB,3
49,56,DULCE MIRANDA,MDB,3
58,56,BOSCO SARAIVA,Solidariedade,3
2,56,VANDERLEI MACRIS,PSDB,3
469,56,GUSTAVO FRUET,PDT,3
354,56,SARAIVA,,3
16,56,BIRA DO PINDARÉ,PSB,3
323,56,DELEGADO MARCELO FREITAS,PSL,3
461,56,GEOVANIA DE SÁ,PSDB,3
459,56,ANTONIO BRITO,PSD,3
