,acoes,numero_parlamentares,sigla_partido,percapita
16,3,1,PHS,3.0
22,6,2,PMN,3.0
27,7,1,REDE,7.0
18,7,4,PV,1.75
15,13,7,Avante,1.8571428571428572
20,13,8,PSC,1.625
23,20,4,Patriota,5.0
28,23,2,Acredito,11.5
14,24,10,PROS,2.4
24,30,11,PSOL,2.727272727272727
25,37,8,NOVO,4.625
9,45,11,PTB,4.090909090909091
19,46,8,Cidadania,5.75
6,49,9,PCdoB,5.444444444444445
0,64,15,Solidariedade,4.266666666666667
17,66,11,Podemos,6.0
1,101,32,PRB,3.15625
11,106,40,PR,2.65
10,109,33,PSB,3.303030303030303
12,110,39,PSD,2.8205128205128207
4,130,29,DEM,4.482758620689655
5,138,30,PSDB,4.6
3,149,36,MDB,4.138888888888889
7,153,40,Progressistas,3.825
13,171,55,PSL,3.109090909090909
2,171,28,PDT,6.107142857142857
8,225,57,PT,3.9473684210526314
