,legislatura,nome_parlamentar,sigla_partido,acoes
0,56,BACELAR,Podemos,1
148,56,JAQUELINE CASSOL,Progressistas,1
146,56,JOSIMAR MARANHÃOZINHO,PR,1
140,56,FILIPE BARROS,PSL,1
139,56,LUCIO MOSQUINI,MDB,1
130,56,POLICIAL KATIA SASTRE,PR,1
129,56,FERNANDO RODOLFO,PR,1
127,56,DANIEL SILVEIRA,PSL,1
125,56,PAULO AZI,DEM,1
123,56,GUTEMBERG REIS,MDB,1
240,56,IDILVAN ALENCAR,PDT,1
119,56,VICENTINHO JÚNIOR,PR,1
116,56,ROBERTO DE LUCENA,Podemos,1
114,56,CORONEL ARMANDO,PSL,1
112,56,MARCELO ÁLVARO ANTÔNIO,PSL,1
110,56,ALINE SLEUTJES,PSL,1
109,56,RODRIGO COELHO,PSB,1
108,56,JOSEILDO RAMOS,PT,1
72,56,PEDRO PAULO,DEM,1
73,56,PROFESSOR ALCIDES,Progressistas,1
74,56,DELEGADO MARCELO FREITAS,PSL,1
77,56,NATÁLIA BONAVIDES,PT,1
78,56,ALEX SANTANA,PDT,1
81,56,BOHN GASS,PT,1
150,56,POMPEO DE MATTOS,PDT,1
83,56,JÚNIOR BOZZELLA,PSL,1
88,56,SUBTENENTE GONZAGA,PDT,1
89,56,MARCELO RAMOS,PR,1
94,56,ABOU ANNI,PSL,1
100,56,LUIZ PHILIPPE DE ORLEANS E BRAGANÇA,PSL,1
104,56,JOÃO MAIA,PR,1
107,56,RODRIGO AGOSTINHO,PSB,1
87,56,ARNALDO JARDIM,Cidadania,1
71,56,RAFAEL MOTTA,PSB,1
152,56,AMARO NETO,PRB,1
157,56,CELSO MALDANER,MDB,1
239,56,TALÍRIA PETRONE,PSOL,1
238,56,GUSTAVO FRUET,PDT,1
235,56,HUGO MOTTA,PRB,1
232,56,MARCO BERTAIOLLI,PSD,1
228,56,MÁRCIO MARINHO,PRB,1
227,56,OSIRES DAMASO,PSC,1
219,56,NELSON BARBUDO,PSL,1
213,56,ANDRÉ FIGUEIREDO,PDT,1
211,56,ROBERTO ALVES,PRB,1
208,56,GELSON AZEVEDO,PR,1
204,56,LEUR LOMANTO JÚNIOR,DEM,1
201,56,ÁTILA LINS,Progressistas,1
199,56,MARA ROCHA,PSDB,1
198,56,VICENTINHO,PT,1
