,acoes,numero_parlamentares,sigla_partido,percapita
28,2,2,Acredito,1.0
27,3,1,REDE,3.0
25,5,8,NOVO,0.625
18,9,4,PV,2.25
20,9,8,PSC,1.125
15,9,7,Avante,1.2857142857142858
9,12,11,PTB,1.0909090909090908
23,13,4,Patriota,3.25
17,16,11,Podemos,1.4545454545454546
0,17,15,Solidariedade,1.1333333333333333
19,19,8,Cidadania,2.375
4,21,29,DEM,0.7241379310344828
11,24,40,PR,0.6
5,24,30,PSDB,0.8
3,31,36,MDB,0.8611111111111112
12,32,39,PSD,0.8205128205128205
7,34,40,Progressistas,0.85
1,35,32,PRB,1.09375
24,39,11,PSOL,3.5454545454545454
6,39,9,PCdoB,4.333333333333333
10,53,33,PSB,1.606060606060606
2,53,28,PDT,1.8928571428571428
13,58,55,PSL,1.0545454545454545
8,169,57,PT,2.9649122807017543
