,legislatura,nome_parlamentar,sigla_partido,acoes
155,56,VAVÁ MARTINS,PRB,1
138,56,CLARISSA GAROTINHO,PROS,1
82,56,DELEGADO PABLO,PSL,1
140,56,SERGIO TOLEDO,PR,1
80,56,EDMILSON RODRIGUES,PSOL,1
79,56,LUIZ PHILIPPE DE ORLEANS E BRAGANÇA,PSL,1
78,56,FELIPE CARRERAS,PSB,1
156,56,WELITON PRADO,PROS,1
179,56,CEZINHA DE MADUREIRA,PSD,1
73,56,ALEXIS FONTEYNE,NOVO,1
71,56,ABOU ANNI,PSL,1
85,56,CUNHA,,1
70,56,EDUARDO BOLSONARO,PSL,1
67,56,SANDERSON,PSL,1
65,56,ARNALDO JARDIM,Cidadania,1
183,56,GERVÁSIO MAIA,PSB,1
141,56,JÚLIO CESAR,PSD,1
184,56,FABIO SCHIOCHET,PSL,1
60,56,OTTO ALENCAR FILHO,PSD,1
59,56,BOHN GASS,PT,1
185,56,GLEISI HOFFMANN,PT,1
165,56,HÉLIO COSTA,PRB,1
54,56,ALESSANDRO MOLON,PSB,1
69,56,OLIVEIRA,,1
187,56,PEDRO UCZAI,PT,1
87,56,FLÁVIA ARRUDA,PR,1
137,56,ROBERTO PESSOA,PSDB,1
124,56,JERÔNIMO GOERGEN,Progressistas,1
123,56,LUIZ LIMA,PSL,1
121,56,MARIA DO ROSÁRIO,PT,1
119,56,FRED COSTA,Patriota,1
118,56,NELSON PELLEGRINO,PT,1
128,56,HÉLIO COSTA,MDB,1
113,56,CAPITÃO WAGNER,PROS,1
172,56,DANIEL COELHO,Cidadania,1
173,56,TADEU ALENCAR,PSB,1
109,56,ODAIR CUNHA,PT,1
88,56,MARANHÃO,,1
174,56,LEDO,,1
105,56,CHAGAS,,1
102,56,CELINA LEÃO,Progressistas,1
132,56,BAHIA,,1
100,56,PEDRO LUPION,DEM,1
99,56,CARLOS BEZERRA,MDB,1
98,56,MAIA,,1
97,56,ALEXANDRE FROTA,PSL,1
94,56,MARCELO ÁLVARO ANTÔNIO,PSL,1
92,56,CAETANO,PT,1
90,56,RICARDO IZAR,PTB,1
175,56,LEÔNIDAS CRISTINO,PDT,1
143,56,PAULO TEIXEIRA,PT,1
63,56,JUNINHO DO PNEU,DEM,1
164,56,TRINDADE,,1
29,56,CORONEL CHRISÓSTOMO,PSL,1
27,56,FELIPE RIGONI,PSB,1
26,56,SERGIO VIDIGAL,PDT,1
25,56,BEZERRA,,1
24,56,MADUREIRA,,1
51,56,PEDRO PAULO,DEM,1
22,56,MARCELO MORAES,PTB,1
20,56,RENATO ARCHER,,1
19,56,TITO,Avante,1
16,56,MARCOS PEREIRA,PRB,1
196,56,FRANCO,,1
159,56,DIAS,,1
151,56,CAMILO CAPIBERIBE,PSB,1
11,56,GENINHO ZULIANI,DEM,1
10,56,BIRA DO PINDARÉ,PSB,1
158,56,RUBENS BUENO,Cidadania,1
207,56,TALÍRIA PETRONE,PSOL,1
208,56,VALADARES,,1
5,56,CORUMBÁ,,1
209,56,ADOLFO VIANA,PSDB,1
210,56,ZONTA,PSB,1
211,56,RUI FALCÃO,PT,1
201,56,FRANCO CARTAFINA,Progressistas,1
32,56,SANTA CRUZ,,1
23,56,JARDIM,,1
191,56,GELSON AZEVEDO,PR,1
49,56,VINICIUS CARVALHO,PRB,1
48,56,CELSO SABINO,PSDB,1
194,56,ANDRÉ FIGUEIREDO,PDT,1
35,56,VIANA,,1
47,56,RICARDO IZAR,Progressistas,1
147,56,EDUARDO GOMES,Solidariedade,1
37,56,TIAGO DIMAS,Solidariedade,1
161,56,BIA CAVASSA,PSDB,1
46,56,RAFAEL MOTTA,PSB,1
162,56,TOLEDO,,1
103,56,GREYCE ELIAS,Avante,2
104,56,JOÃO ROMA,PRB,2
107,56,JOSE MARIO SCHREINER,DEM,2
43,56,JOÃO ROMA,,2
34,56,REGINALDO LOPES,PT,2
114,56,JESUS SÉRGIO,PDT,2
157,56,JANDIRA FEGHALI,PCdoB,2
56,56,LÉO MORAES,Podemos,2
120,56,JULIO CESAR RIBEIRO,PRB,2
3,56,BARBOSA,,2
122,56,AIRTON FALEIRO,PT,2
58,56,LOURIVAL GOMES,PSL,2
115,56,SIMPLÍCIO ARAÚJO,Solidariedade,2
200,56,DR. JAZIEL,PR,2
198,56,JUVENIL,PRTB,2
75,56,LESSA,,2
30,56,DR. LEONARDO,Solidariedade,2
74,56,ANDRÉ LUIZ,S.PART.,2
28,56,MARCON,PT,2
139,56,CÉLIO MOURA,PT,2
72,56,VILSON DA FETAEMG,PSB,2
86,56,EDNA HENRIQUE,PSDB,2
193,56,ROBERTO ALVES,PRB,2
38,56,PEDRO LUCAS FERNANDES,PTB,2
180,56,ALENCAR SANTANA BRAGA,PT,2
21,56,DANRLEI DE DEUS HINTERHOLZ,PSD,2
93,56,JORGE SOLLA,PT,2
39,56,TEREZA CRISTINA,DEM,2
95,56,ROBERTO DE LUCENA,Podemos,2
167,56,CORONEL TADEU,PSL,2
66,56,RONALDO CARLETTO,Progressistas,2
126,56,LUCIO MOSQUINI,MDB,2
160,56,JÚLIO DELGADO,PSB,3
129,56,TÚLIO GADÊLHA,PDT,3
145,56,DAVID SOARES,DEM,3
171,56,TABATA AMARAL,PDT,3
127,56,SOARES,,3
136,56,SIDNEY LEITE,PSD,3
