,acoes,numero_parlamentares,sigla_partido,percapita
23,1,4,Patriota,0.25
25,1,8,NOVO,0.125
26,2,1,S.PART.,2.0
15,3,7,Avante,0.42857142857142855
14,3,10,PROS,0.3
28,4,2,Acredito,2.0
7,6,40,Progressistas,0.15
5,10,30,PSDB,0.3333333333333333
9,11,11,PTB,1.0
17,11,11,Podemos,1.0
6,12,9,PCdoB,1.3333333333333333
0,12,15,Solidariedade,0.8
19,16,8,Cidadania,2.0
12,21,39,PSD,0.5384615384615384
2,21,28,PDT,0.75
1,25,32,PRB,0.78125
3,28,36,MDB,0.7777777777777778
13,29,55,PSL,0.5272727272727272
4,32,29,DEM,1.103448275862069
11,33,40,PR,0.825
10,33,33,PSB,1.0
24,63,11,PSOL,5.7272727272727275
8,166,57,PT,2.912280701754386
