,legislatura,nome_parlamentar,sigla_partido,acoes
0,56,BACELAR,Podemos,1
89,56,LAERCIO OLIVEIRA,PP,1
160,56,MAURO BENEVIDES,MDB,1
161,56,PEDRO UCZAI,PT,1
164,56,GIL CUTRIM,PDT,1
165,56,DIEGO GARCIA,Podemos,1
80,56,ARTHUR OLIVEIRA MAIA,DEM,1
166,56,LEUR LOMANTO JÚNIOR,DEM,1
167,56,ALAN RICK,DEM,1
77,56,DAVID MIRANDA,PSOL,1
169,56,ADRIANO DO BALDY,PP,1
170,56,MIGUEL LOMBARDI,PR,1
73,56,ABOU ANNI,PSL,1
72,56,JEFFERSON CAMPOS,PSB,1
171,56,ROSANA VALLE,PSB,1
175,56,ANDRÉ FIGUEIREDO,PDT,1
130,56,CELSO MALDANER,MDB,1
63,56,ALIEL MACHADO,PSB,1
61,56,LOURIVAL GOMES,PSL,1
59,56,GURGEL,PSL,1
179,56,FLAVIANO MELO,MDB,1
56,56,DELEGADO MARCELO FREITAS,PSL,1
159,56,GERVÁSIO MAIA,PSB,1
91,56,WILSON SANTIAGO,PTB,1
92,56,MARGARETE COELHO,PP,1
93,56,CAPITÃO ALBERTO NETO,PRB,1
132,56,PAULO TEIXEIRA,PT,1
133,56,DAVID SOARES,DEM,1
126,56,CLARISSA GAROTINHO,PROS,1
134,56,PADRE JOÃO,PT,1
135,56,AMARO NETO,PRB,1
123,56,SIDNEY LEITE,PSD,1
120,56,JOSIMAR MARANHÃOZINHO,PR,1
140,56,CAMILO CAPIBERIBE,PSB,1
115,56,DELEGADO ANTÔNIO FURTADO,PSL,1
146,56,GOULART,PSD,1
54,56,VINICIUS CARVALHO,PRB,1
110,56,AIRTON FALEIRO,PT,1
150,56,TABATA AMARAL,PDT,1
105,56,FERNANDO RODOLFO,PR,1
104,56,SÁ,PR,1
206,56,REINHOLD STEPHANES JUNIOR,PSD,1
152,56,EDUARDO BISMARCK,PDT,1
153,56,CELINA LEÃO,PP,1
100,56,EXPEDITO NETTO,PSD,1
97,56,JOÃO ROMA,PRB,1
156,56,EVANDRO ROMAN,PSD,1
158,56,FLAVIO NOGUEIRA,PDT,1
107,56,NELSON PELLEGRINO,PT,1
52,56,VERMELHO,PSD,1
176,56,GENERAL PETERNELLI,PSL,1
25,56,PEDRO AUGUSTO BEZERRA,PTB,1
196,56,LUIZA ERUNDINA,PSOL,1
33,56,REINHOLD STEPHANES,PSD,1
34,56,PROFESSORA DAYANE PIMENTEL,PSL,1
195,56,LÉO MOTTA,PSL,1
13,56,BIA KICIS,PSL,1
194,56,ALEX MANENTE,Cidadania,1
200,56,HUGO MOTTA,PRB,1
38,56,FELIPE RIGONI,PSB,1
201,56,GUSTAVO FRUET,PDT,1
15,56,ISNALDO BULHÕES JR.,MDB,1
29,56,ÁTILA LIRA,PSB,1
16,56,MAURO NAZIF,PSB,1
8,56,JOICE HASSELMANN,PSL,1
17,56,ROSE MODESTO,PSDB,1
191,56,ZÉ VITOR,PR,1
190,56,GEOVANIA DE SÁ,PSDB,1
198,56,PEDRO CUNHA LIMA,PSDB,1
189,56,JOSÉ GUIMARÃES,PT,1
44,56,LUIZÃO GOULART,PRB,1
24,56,MÁRIO HERINGER,PDT,1
6,56,RUBENS OTONI,PT,1
