,acoes,numero_parlamentares,sigla_partido,percapita
24,2,11,PSOL,0.18181818181818182
19,4,8,Cidadania,0.5
11,4,40,PR,0.1
28,4,2,Acredito,2.0
1,6,32,PRB,0.1875
7,7,40,Progressistas,0.175
17,8,11,Podemos,0.7272727272727273
14,9,10,PROS,0.9
6,9,9,PCdoB,1.0
0,10,15,Solidariedade,0.6666666666666666
4,10,29,DEM,0.3448275862068966
13,11,55,PSL,0.2
12,13,39,PSD,0.3333333333333333
5,13,30,PSDB,0.43333333333333335
3,15,36,MDB,0.4166666666666667
2,16,28,PDT,0.5714285714285714
8,21,57,PT,0.3684210526315789
10,23,33,PSB,0.696969696969697
