,legislatura,nome_parlamentar,sigla_partido,acoes
90,56,NIVALDO ALBUQUERQUE,PTB,1
234,56,FILIPE BARROS,PSL,1
109,56,NEWTON CARDOSO JR,MDB,1
364,56,FERNANDO COELHO FILHO,DEM,1
105,56,RICARDO GUIDI,PSD,1
237,56,NILSON PINTO,PSDB,1
103,56,ALEXANDRE SERFIOTIS,PSD,1
238,56,SEVERINO PESSOA,PRB,1
323,56,ALENCAR SANTANA BRAGA,PT,1
241,56,IVAN VALENTE,PSOL,1
99,56,LUIZÃO GOULART,PRB,1
97,56,LIZIANE BAYER,PSB,1
96,56,CRISTIANO VALE,PR,1
244,56,PASTOR GILDENEMYR,PMN,1
94,56,STEFANO AGUIAR,PSD,1
321,56,CEZINHA DE MADUREIRA,PSD,1
179,56,ALINE GURGEL,PRB,1
251,56,CLARISSA GAROTINHO,PROS,1
317,56,LEÔNIDAS CRISTINO,PDT,1
84,56,DAMIÃO FELICIANO,PDT,1
83,56,REGINALDO LOPES,PT,1
82,56,RAIMUNDO COSTA,PR,1
81,56,JHONATAN DE JESUS,PRB,1
316,56,ELI CORRÊA FILHO,DEM,1
259,56,AGUINALDO RIBEIRO,Progressistas,1
371,56,MÁRCIO MARINHO,PRB,1
312,56,ANDRÉ FERREIRA,PSC,1
372,56,FRANCO CARTAFINA,Progressistas,1
325,56,ANDRÉ DE PAULA,PSD,1
67,56,PROFESSORA DAYANE PIMENTEL,PSL,1
358,56,NEREU CRISPIM,PSL,1
121,56,RENATA ABREU,Podemos,1
184,56,RODRIGO COELHO,PSB,1
174,56,MARX BELTRÃO,PSD,1
337,56,GIL CUTRIM,PDT,1
187,56,PAULO BENGTSON,PTB,1
191,56,LAFAYETTE DE ANDRADA,PRB,1
338,56,OLIVAL MARQUES,DEM,1
165,56,DOMINGOS NETO,PSD,1
340,56,LEUR LOMANTO JÚNIOR,DEM,1
196,56,ABOU ANNI,PSL,1
200,56,GREYCE ELIAS,Avante,1
202,56,VICENTINHO JÚNIOR,PR,1
334,56,MARA ROCHA,PSDB,1
204,56,HELIO LOPES,PSL,1
150,56,ARNALDO JARDIM,Cidadania,1
209,56,ANGELA AMIN,Progressistas,1
332,56,VICENTINHO,PT,1
212,56,LUIZ CARLOS,PSDB,1
145,56,RONALDO CARLETTO,Progressistas,1
216,56,JESUS SÉRGIO,PDT,1
138,56,LÍDICE DA MATA,PSB,1
354,56,PAULO RAMOS,PDT,1
135,56,HÉLIO LEITE,DEM,1
134,56,MERLONG SOLANO,PT,1
133,56,EDIO LOPES,PR,1
132,56,LAURIETE,PR,1
128,56,REJANE DIAS,PT,1
126,56,FAUSTO PINATO,Progressistas,1
357,56,FLAVIANO MELO,MDB,1
62,56,ALTINEU CÔRTES,PR,1
180,56,NATÁLIA BONAVIDES,PT,1
28,56,ROGÉRIO CORREIA,PT,1
49,56,CHRISTIANE DE SOUZA YARED,PR,1
48,56,ROBÉRIO MONTEIRO,PDT,1
47,56,RICARDO TEOBALDO,Podemos,1
381,56,LEDA SADALA,Avante,1
291,56,CARLOS ZARATTINI,PT,1
13,56,JÚNIOR MANO,PR,1
392,56,ULDURICO JUNIOR,PROS,1
42,56,RICARDO BARROS,Progressistas,1
378,56,LÉO MOTTA,PSL,1
290,56,CARLA ZAMBELLI,PSL,1
36,56,JOSÉ NUNES,PSD,1
306,56,LUIZ CARLOS MOTTA,PR,1
379,56,FABIO REIS,MDB,1
286,56,JOSÉ AIRTON FÉLIX CIRILO,PT,1
30,56,IGOR TIMO,Podemos,1
280,56,JOÃO MARCELO SOUZA,MDB,1
304,56,FÁBIO RAMALHO,MDB,1
283,56,RUBENS BUENO,Cidadania,1
38,56,FERNANDA MELCHIONNA,PSOL,1
311,56,VINICIUS GURGEL,PR,1
11,56,JOICE HASSELMANN,PSL,1
269,56,MARLON SANTOS,PDT,1
52,56,MARCELO MORAES,PTB,1
296,56,SÂMIA BOMFIM,PSOL,1
295,56,HÉLIO COSTA,PRB,1
395,56,DRA. VANDA MILANI,Solidariedade,1
266,56,CHARLES FERNANDES,PSD,1
393,56,ADOLFO VIANA,PSDB,1
54,56,TITO,Avante,1
4,56,RODRIGO DE CASTRO,PSDB,1
218,56,FERNANDO RODOLFO,PR,2
336,56,ÁTILA LINS,Progressistas,2
396,56,TED CONTI,PSB,2
185,56,ALINE SLEUTJES,PSL,2
183,56,JOSEILDO RAMOS,PT,2
130,56,BOSCO COSTA,PR,2
385,56,HUGO MOTTA,PRB,2
139,56,ENRICO MISASI,PV,2
19,56,BIA KICIS,PSL,2
141,56,LOURIVAL GOMES,PSL,2
215,56,LUIZ NISHIMORI,PR,2
329,56,FABIO SCHIOCHET,PSL,2
22,56,ISNALDO BULHÕES JR.,MDB,2
288,56,GENERAL GIRÃO,PSL,2
170,56,ARTHUR OLIVEIRA MAIA,DEM,2
398,56,DANIEL ALMEIDA,PCdoB,2
9,56,JÚNIOR FERRARI,PSD,2
10,56,DR. ZACHARIAS CALIL,DEM,2
156,56,JEFFERSON CAMPOS,PSB,2
341,56,ALAN RICK,DEM,2
155,56,JUNINHO DO PNEU,DEM,2
353,56,AJ ALBUQUERQUE,Progressistas,2
162,56,JÚNIOR BOZZELLA,PSL,2
206,56,JOSE MARIO SCHREINER,DEM,2
167,56,ROSANGELA GOMES,PRB,2
210,56,GUTEMBERG REIS,MDB,2
289,56,ADRIANA VENTURA,NOVO,2
387,56,SARGENTO FAHUR,PSD,2
189,56,DAVID MIRANDA,PSOL,2
164,56,EDUARDO COSTA,PTB,2
124,56,CARLOS JORDY,PSL,2
373,56,DR. JAZIEL,PR,2
