,acoes,numero_parlamentares,sigla_partido,percapita
16,3,1,PHS,3.0
15,5,7,Avante,0.7142857142857143
22,6,2,PMN,3.0
27,7,1,REDE,7.0
18,7,4,PV,1.75
20,13,8,PSC,1.625
23,20,4,Patriota,5.0
28,23,2,Acredito,11.5
14,24,10,PROS,2.4
24,30,11,PSOL,2.727272727272727
9,35,11,PTB,3.1818181818181817
25,37,8,NOVO,4.625
19,46,8,Cidadania,5.75
6,49,9,PCdoB,5.444444444444445
0,64,15,Solidariedade,4.266666666666667
17,64,11,Podemos,5.818181818181818
11,70,40,PR,1.75
1,101,32,PRB,3.15625
5,108,30,PSDB,3.6
10,109,33,PSB,3.303030303030303
12,112,39,PSD,2.871794871794872
4,124,29,DEM,4.275862068965517
3,139,36,MDB,3.861111111111111
7,142,40,Progressistas,3.55
2,170,28,PDT,6.071428571428571
13,171,55,PSL,3.109090909090909
8,224,57,PT,3.9298245614035086
