,legislatura,nome_parlamentar,sigla_partido,acoes
74,56,TADEU ALENCAR,PSB,1
54,56,VAVÁ MARTINS,PRB,1
99,56,JUNINHO DO PNEU,DEM,1
101,56,ARNALDO JARDIM,Cidadania,1
103,56,GELSON AZEVEDO,PR,1
49,56,CAMILO CAPIBERIBE,PSB,1
48,56,CORONEL CHRISÓSTOMO,PSL,1
96,56,OTTO ALENCAR FILHO,PSD,1
46,56,FELIPE RIGONI,PSB,1
107,56,ANDRÉ FIGUEIREDO,PDT,1
43,56,SERGIO VIDIGAL,PDT,1
109,56,EDUARDO BOLSONARO,PSL,1
110,56,ABOU ANNI,PSL,1
39,56,PAULO TEIXEIRA,PT,1
76,56,RICARDO IZAR,Progressistas,1
106,56,SANDERSON,PSL,1
112,56,EDMILSON RODRIGUES,PSOL,1
94,56,BOHN GASS,PT,1
59,56,TIAGO DIMAS,Solidariedade,1
75,56,RAFAEL MOTTA,PSB,1
78,56,VINICIUS CARVALHO,PRB,1
73,56,DANIEL COELHO,Cidadania,1
79,56,LEÔNIDAS CRISTINO,PDT,1
80,56,PEDRO PAULO,DEM,1
82,56,CEZINHA DE MADUREIRA,PSD,1
57,56,RUBENS BUENO,Cidadania,1
84,56,GERVÁSIO MAIA,PSB,1
88,56,FABIO SCHIOCHET,PSL,1
65,56,HÉLIO COSTA,PRB,1
89,56,GLEISI HOFFMANN,PT,1
63,56,BIA CAVASSA,PSDB,1
91,56,PEDRO UCZAI,PT,1
60,56,WELITON PRADO,PROS,1
87,56,ALESSANDRO MOLON,PSB,1
116,56,LUIZ PHILIPPE DE ORLEANS E BRAGANÇA,PSL,1
111,56,ALEXIS FONTEYNE,NOVO,1
34,56,SERGIO TOLEDO,PR,1
35,56,TITO,Avante,1
16,56,MARIA DO ROSÁRIO,PT,1
133,56,MARCELO ÁLVARO ANTÔNIO,PSL,1
14,56,NELSON PELLEGRINO,PT,1
13,56,FRED COSTA,Patriota,1
136,56,ALEXANDRE FROTA,PSL,1
18,56,LUIZ LIMA,PSL,1
139,56,CARLOS BEZERRA,MDB,1
141,56,TALÍRIA PETRONE,PSOL,1
142,56,ADOLFO VIANA,PSDB,1
6,56,CAPITÃO WAGNER,PROS,1
143,56,CELINA LEÃO,Progressistas,1
2,56,ODAIR CUNHA,PT,1
146,56,RUI FALCÃO,PT,1
140,56,PEDRO LUPION,DEM,1
19,56,JERÔNIMO GOERGEN,Progressistas,1
77,56,CELSO SABINO,PSDB,1
123,56,FLÁVIA ARRUDA,PR,1
21,56,BIRA DO PINDARÉ,PSB,1
22,56,GENINHO ZULIANI,DEM,1
127,56,FRANCO CARTAFINA,Progressistas,1
117,56,FELIPE CARRERAS,PSB,1
125,56,JOSÉ GUIMARÃES,PT,1
32,56,CLARISSA GAROTINHO,PROS,1
120,56,DELEGADO PABLO,PSL,1
26,56,MARCOS PEREIRA,PRB,1
130,56,CAETANO,PT,1
30,56,MARCELO MORAES,PTB,1
29,56,ROBERTO PESSOA,PSDB,1
145,56,JOÃO ROMA,PRB,2
144,56,GREYCE ELIAS,Avante,2
