,acoes,numero_parlamentares,sigla_partido,percapita
23,1,4,Patriota,0.25
25,1,8,NOVO,0.125
15,3,7,Avante,0.42857142857142855
14,3,10,PROS,0.3
28,4,2,Acredito,2.0
5,6,30,PSDB,0.2
7,6,40,Progressistas,0.15
9,6,11,PTB,0.5454545454545454
0,11,15,Solidariedade,0.7333333333333333
17,11,11,Podemos,1.0
6,12,9,PCdoB,1.3333333333333333
3,14,36,MDB,0.3888888888888889
19,16,8,Cidadania,2.0
4,18,29,DEM,0.6206896551724138
2,21,28,PDT,0.75
11,22,40,PR,0.55
12,23,39,PSD,0.5897435897435898
1,25,32,PRB,0.78125
13,26,55,PSL,0.4727272727272727
10,32,33,PSB,0.9696969696969697
24,63,11,PSOL,5.7272727272727275
8,161,57,PT,2.824561403508772
